timestamp,disk,disk_free_gb,disk_fill_rate_mb_min,inode_pct,cpu,mem,net_kbps,disk_w_kbps,gpu_util,gpu_mem_mib,gpu_temp_c
2026-03-01T17:47:19.787725,3.6,1710.82,0.0,0.6,1.0,53.1,125.09,549.92,0.0,306.69,40.0
2026-03-01T17:47:25.796113,3.6,1710.82,2.22,0.6,2.0,53.2,149.54,431.24,0.0,306.69,40.0
2026-03-01T17:47:31.804652,3.6,1710.82,0.2,0.6,2.0,53.6,55.04,430.74,0.0,306.69,40.0
2026-03-01T17:47:37.813731,3.6,1710.82,0,0.6,3.9,53.9,83.78,525.96,0.0,306.69,40.0
2026-03-01T17:47:43.821883,3.6,1710.82,2.89,0.6,3.9,53.6,108.21,607.7,0.0,306.69,41.0
2026-03-01T17:47:49.829204,3.6,1710.82,1.95,0.6,3.8,53.9,122.15,485.34,0.0,306.69,41.0
2026-03-01T17:47:57.418168,3.6,1710.82,2.26,0.6,2.0,54.8,178.53,506.04,0.0,306.69,42.0
2026-03-01T17:48:03.427835,3.6,1710.82,2.22,0.6,1.8,53.7,56.04,513.38,0.0,306.69,43.0
2026-03-01T17:48:09.437029,3.6,1710.81,80.02,0.6,5.5,52.9,72.34,500.51,0.0,306.69,43.0
2026-03-01T17:48:15.446597,3.6,1710.81,2.96,0.6,1.7,53.1,77.3,473.94,0.0,306.69,42.0
2026-03-01T17:48:21.456527,3.6,1710.81,4.45,0.6,1.2,53.1,231.54,738.82,0.0,306.69,42.0
2026-03-01T17:48:27.465508,3.6,1710.81,2.15,0.6,1.7,53.6,299.36,3870.0,0.0,306.69,42.0
2026-03-01T17:48:33.475636,3.6,1710.83,0,0.6,1.3,53.4,107.83,419.33,0.0,306.69,42.0
2026-03-01T17:48:39.486172,3.6,1710.83,0.27,0.6,5.1,53.3,135.6,477.2,0.0,306.69,42.0
2026-03-01T17:48:45.493894,3.6,1710.83,2.77,0.6,4.4,53.7,72.31,610.28,0.0,306.69,42.0
2026-03-01T17:48:51.502107,3.6,1710.83,0.55,0.6,1.4,53.3,172.1,492.69,0.0,306.69,42.0
2026-03-01T17:48:57.512028,3.6,1710.83,2.26,0.6,2.3,53.8,242.98,436.81,0.0,306.69,42.0
2026-03-01T17:49:03.520796,3.6,1710.83,0.27,0.6,3.9,53.8,81.49,710.01,0.0,306.69,42.0
